consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q01,1,500000,529,101,74489,54713,14.1246,4.0223
Q02,100,1000000,2332,484,1121548,1008999,192.91,38.3175
Q03,50000,750000,2557,545,1029165,925233,168.02,34.3377
Q04,200000,800000,611,124,104461,88414,19.3229,4.2389
Q05,300000,100000,3098,666,1135889,1051816,195.291,41.7309
Q06,1,1087562,404,95,40205,47273,8.8999,3.0154
Q07,500000,1,529,101,111587,90936,20.9747,4.3946
Q08,250000,600000,1492,300,865235,758054,158.248,31.0446
Q09,10000,900000,889,169,201609,156513,34.7022,7.1066
Q10,400000,150000,805,167,390724,352068,72.3928,15.173
